Food Name,Country of Origin,Rarity,Description
Pizza,Italy,1,A savory dish of Italian origin, consisting of a usually round, flattened base of leavened wheat-based dough topped with tomatoes, cheese, and often various other ingredients.
Sushi,Japan,1,A Japanese dish of prepared vinegared rice, usually with some sugar and salt, accompanying a variety of ingredients, such as seafood, vegetables, and occasionally tropical fruits.
Taco,Mexico,1,A traditional Mexican dish consisting of a small hand-sized corn or wheat tortilla topped with a filling.
Curry,India,1,A variety of dishes originating in the Indian subcontinent that use a complex combination of spices or herbs, usually including ground turmeric, cumin, coriander, ginger, and fresh or dried chilies.
Ramen,Japan,1,A Japanese noodle soup dish. It consists of Chinese-style wheat noodles served in a meat or (occasionally) fish-based broth, often flavored with soy sauce or miso, and uses toppings such as sliced pork, nori, menma, and scallions.
Paella,Spain,2,A Spanish rice dish originally from Valencia. It is one of the best-known dishes in Spanish cuisine.
Hamburger,United States,1,A sandwich consisting of one or more cooked patties of ground meat, usually beef, placed inside a sliced bread roll or bun.
Pho,Vietnam,2,A Vietnamese soup consisting of broth, rice noodles, herbs, and meat, usually beef or chicken.
Croissant,France,1,A buttery, flaky, viennoiserie pastry of Austrian origin, named for its historical crescent shape.
Kebab,Turkey,1,A variety of cooked meat dishes, with their origins in Middle Eastern cuisine.
Fish and Chips,United Kingdom,1,A hot dish consisting of fried battered fish and hot chips. It is a common take-away food in the United Kingdom and numerous other countries, particularly in English-speaking and Commonwealth nations.
Dim Sum,China,1,A large range of small dishes that Cantonese people traditionally enjoy in restaurants for breakfast and lunch.
Goulash,Hungary,2,A soup or stew of meat and vegetables seasoned with paprika and other spices. Originating in medieval Hungary, goulash is a popular meal predominantly eaten in Central Europe but also in other parts of Europe.
Poutine,Canada,2,A dish of french fries and cheese curds topped with a brown gravy. It emerged in Quebec, Canada, in the late 1950s in the Centre-du-Québec region.
Pad Thai,Thailand,1,A stir-fried rice noodle dish commonly served as a street food and at most restaurants in Thailand as part of the country's cuisine.
Moussaka,Greece,2,"An eggplant- and/or potato-based dish, often including ground meat, which is common in the Balkans and the Middle East, with many local and regional variations."
Empanada,Argentina,2,"A type of baked or fried turnover consisting of pastry and filling, common in Southern European, Latin American, and the Philippines cultures."
Borscht,Ukraine,2,"A sour soup common in Eastern Europe and Northern Asia. In English, the word 'borscht' is most often associated with the soup's variant of Ukrainian origin, made with beetroots as one of the main ingredients, which give the dish its distinctive red color."
Ceviche,Peru,2,"A South American seafood dish that originated in Peru, typically made from fresh raw fish cured in fresh citrus juices, most commonly lemon or lime, and spiced with ají, chili peppers or other seasonings including chopped onions, salt, and coriander."
Jollof Rice,Nigeria,2,"A rice dish from West Africa. The dish is typically made with long-grain rice, tomatoes, onions, spices, vegetables and meat in a single pot, although its ingredients and preparation methods vary across different regions."
Feijoada,Brazil,2,A stew of beans with beef and pork. It is the national dish of Brazil.
Pierogi,Poland,2,"Filled dumplings made by wrapping unleavened dough around a savory or sweet filling and cooking in boiling water, or pan-frying. They are associated with the cuisines of Central, Eastern and Southeastern Europe."
Lasagna,Italy,1,"A type of wide, flat pasta, possibly one of the oldest types of pasta. It is an Italian dish made of stacked layers of this flat pasta alternating with fillings such as ragù and other vegetables, cheese, and seasonings and spices such as garlic, oregano and basil."
Bibimbap,South Korea,2,"A Korean rice dish. The term 'bibim' means 'mixing' and 'bap' refers to cooked rice. It is served as a bowl of warm white rice topped with namul (sautéed and seasoned vegetables) and gochujang (chili pepper paste), soy sauce, or doenjang (a fermented soybean paste)."
Shawarma,Lebanon,1,"A Middle Eastern dish consisting of meat cut into thin slices, stacked in a cone-like shape, and roasted on a slowly-turning vertical rotisserie or spit."
Peking Duck,China,2,"A dish from Beijing (Peking) that has been prepared since the imperial era. The meat is characterized by its thin, crisp skin, with authentic versions of the dish serving mostly the skin and little meat, sliced in front of the diners by the cook."
Haggis,Scotland,3,"A savoury pudding containing sheep's pluck (heart, liver, and lungs); minced with onion, oatmeal, suet, spices, and salt, mixed with stock, traditionally encased in the animal's stomach though now often in an artificial casing instead."
